k,l,filename,classifier,accuracy,precision,recall,f1_score,roc_auc
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,rf,0.7048529411764706,0.7023234761617381,0.6951911589008363,0.6987391173821675,0.7625095653862287
0,0,cvd_k0_l0.csv,rf,0.7071323529411765,0.7047547169811321,0.6972819593787336,0.7009984235417762,0.7631812947422996
0,0,cvd_k0_l0.csv,rf,0.7023529411764706,0.7,0.6920549581839904,0.6960048062481226,0.7618248355843789
0,0,cvd_k0_l0.csv,rf,0.7060294117647059,0.7040229885057471,0.6951911589008363,0.6995792004809137,0.761840064059967
0,0,cvd_k0_l0.csv,rf,0.7054411764705882,0.7031108426457263,0.6953405017921147,0.6992040846974019,0.7613180885909645
0,0,cvd_k0_l0.csv,rf,0.704485294117647,0.7015509712392712,0.6957885304659498,0.6986578690860014,0.763436836782583
0,0,cvd_k0_l0.csv,rf,0.7086029411764706,0.7055814653227019,0.7004181600955794,0.7029903320092932,0.762862059170242
0,0,cvd_k0_l0.csv,rf,0.7031617647058823,0.7008611572745128,0.6928016726403823,0.6968081111528353,0.7607140761991387
0,0,cvd_k0_l0.csv,rf,0.7072794117647059,0.7062129728087498,0.6942951015531661,0.7002033285638979,0.7623729741801197
0,0,cvd_k0_l0.csv,rf,0.7050735294117647,0.7030092242552548,0.6942951015531661,0.6986249906078594,0.7625616428790957
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001579694765972
0,0,cvd_k0_l0.csv,gb,0.7358823529411764,0.7557679630850362,0.6848864994026285,0.7185835161391414,0.8001699965112945
0,0,cvd_k0_l0.csv,gb,0.7358823529411764,0.7557679630850362,0.6848864994026285,0.7185835161391414,0.8001700397740092
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001579911079546
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001580343706693
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001579911079546
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001580343706693
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001579911079546
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001579911079546
0,0,cvd_k0_l0.csv,gb,0.7358088235294118,0.7556434338441259,0.6848864994026285,0.718527222875049,0.8001580343706693
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,lr,0.7240254574383452,0.7479314989416971,0.6429043996030434,0.6914524593080139,0.7722807697697986
10,2,cvd_k10_l2.csv,rf,0.722593476531424,0.7316675719717545,0.6683757856434006,0.698591062321722,0.7693407993245328
10,2,cvd_k10_l2.csv,rf,0.7219570405727923,0.731194489758927,0.6672179953688389,0.6977428003113378,0.7690842717583343
10,2,cvd_k10_l2.csv,rf,0.7223548130469372,0.7323636363636363,0.6662256037049289,0.6977308158669668,0.7692071038044114
