140;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
141;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
142;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
143;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
144;[140, 145[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
145;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
146;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
147;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
148;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
149;[145, 150[;[140, 150[;[140, 160[;[140, 180[;[140, 200[;*
150;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
151;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
152;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
153;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
154;[150, 155[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
155;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
156;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
157;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
158;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
159;[155, 160[;[150, 160[;[140, 160[;[140, 180[;[140, 200[;*
160;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
161;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
162;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
163;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
164;[160, 165[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
165;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
166;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
167;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
168;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
169;[165, 170[;[160, 170[;[160, 180[;[140, 180[;[140, 200[;*
170;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
171;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
172;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
173;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
174;[170, 175[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
175;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
176;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
177;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
178;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
179;[175, 180[;[170, 180[;[160, 180[;[140, 180[;[140, 200[;*
180;[180, 185[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
181;[180, 185[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
182;[180, 185[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
183;[180, 185[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
184;[180, 185[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
185;[185, 190[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
186;[185, 190[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
187;[185, 190[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
188;[185, 190[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
189;[185, 190[;[180, 190[;[180, 200[;[180, 200[;[140, 200[;*
190;[190, 195[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
191;[190, 195[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
192;[190, 195[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
193;[190, 195[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
194;[190, 195[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
195;[195, 200[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
196;[195, 200[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
197;[195, 200[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
198;[195, 200[;[190, 200[;[180, 200[;[180, 200[;[140, 200[;*
207;>=200;>=200;>=200;>=200;>=200;*
