90;[90, 95[;[90, 100[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
93;[90, 95[;[90, 100[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
95;[95, 100[;[90, 100[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
96;[95, 100[;[90, 100[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
99;[95, 100[;[90, 100[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
100;[100, 105[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
101;[100, 105[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
102;[100, 105[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
103;[100, 105[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
104;[100, 105[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
105;[105, 110[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
106;[105, 110[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
107;[105, 110[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
108;[105, 110[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
109;[105, 110[;[100, 110[;[90, 110[;[90, 130[;[90, 170[;[90, 201[
110;[110, 115[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
111;[110, 115[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
112;[110, 115[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
113;[110, 115[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
114;[110, 115[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
115;[115, 120[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
116;[115, 120[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
117;[115, 120[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
118;[115, 120[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
119;[115, 120[;[110, 120[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
120;[120, 125[;[120, 130[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
121;[120, 125[;[120, 130[;[110, 130[;[90, 130[;[90, 170[;[90, 201[
